,smiles,amount,price,lead_time
0,COc1cc(F)c([N+](=O)[O-])cc1N,3,5.53,20.0
1,Cc1oc(S(=O)(=O)N2CCCCC2)cc1C(=O)O,121,70.8,23.8
2,CCNc1ccc(F)cc1N,4,78.0,11.0
3,Cc1oc(S(=O)(=O)N(C)C)cc1C(=O)O,119,78.03,33.8
4,CNCc1nc(-c2ccccn2)no1,10,32.5,21.0
5,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,4,13.0,11.0
6,C#Cc1cc(N)ccc1F,1,7.74,20.0
7,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)O,114,90.85,20.2
8,Nc1ccc(F)cc1C(=O)O,3,7.74,20.0
9,Cc1oc(S(=O)(=O)N2CCOCC2)cc1C(=O)O,110,60.39,14.1
10,Nc1c(F)cc(F)cc1I,2,13.26,20.0
11,Nc1cc(F)c(Br)cc1N,5,15.6,30.0
12,CNc1ccc(F)c(F)c1,3,20.8,30.0
13,Nc1ccc(F)cc1I,2,6.5,30.0
14,Nc1ccc(F)c(C2CC2)c1,1,22.93,31.0
15,CNc1ccc(F)c(C)c1,3,33.15,20.0
16,Nc1cc(O)c(F)cc1F,2,26.49,31.0
17,CNc1cc(Br)c(F)cc1N,3,21.0,20.0
18,O=S(=O)(Cl)c1cccc2cccnc12,32,5.53,20.0
19,Nc1ccc(Oc2ccc(Cl)cc2)c(CO)c1,1,22.93,31.0
20,Cc1cccc(Oc2ccc(N)cc2)c1C,1,30.79,17.0
21,Cc1cnc2c(S(=O)(=O)Cl)cccc2c1,13,9.1,30.0
22,Nc1ccc(Oc2cccc(F)c2)cc1,2,28.77,25.9
23,Nc1c(F)cc(F)c(F)c1[N+](=O)[O-],2,54.08,24.0
24,NNc1ccc(F)c(F)c1F,6,34.67,19.9
25,Fc1ccc2c(c1)CCN2,4,23.4,30.0
26,Nc1ccc(Oc2cccc(Cl)c2)cc1,2,23.76,25.9
27,CC(=O)c1cc(F)ccc1N,2,5.2,30.0
28,NCc1nc(-c2ccccn2)no1,5,32.5,21.0
29,C=C(C)C(=O)Nc1cc(NC(=O)C(=C)C)cc(C(=O)O)c1,4,94.04,21.0
30,Nc1cc(F)cc(Cl)c1N,4,12.16,20.0
31,Nc1ccc(F)cc1B(O)O,4,70.72,20.0
32,Nc1cc(F)c(F)cc1N,5,5.2,30.0
33,NC(=O)c1cc(N)ccc1Oc1ccccc1,1,30.79,17.0
34,Nc1cc(F)c(Br)cc1[N+](=O)[O-],4,27.63,20.0
35,Nc1c(F)cc(F)c(F)c1I,3,38.68,20.0
36,COC(=O)c1cc(F)c(F)cc1N,2,6.5,30.0
37,Nc1ccc(Oc2ccc(N)c(N)c2)cc1N,1,30.79,17.0
38,Cc1cc(Oc2ccc(F)cc2)ccc1N,1,53.04,20.0
